ID|name|name_lower
209|Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker|anne-sophie mutter, herbert von karajan & wiener philharmoniker
210|Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer|hilary hahn, jeffrey kahane, los angeles chamber orchestra & margaret batjer
211|Wilhelm Kempff|wilhelm kempff
212|Yo-Yo Ma|yo-yo ma
213|Scholars Baroque Ensemble|scholars baroque ensemble
214|Academy of St. Martin in the Fields & Sir Neville Marriner|academy of st. martin in the fields & sir neville marriner
215|Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner|academy of st. martin in the fields chamber ensemble & sir neville marriner
216|Berliner Philharmoniker, Claudio Abbado & Sabine Meyer|berliner philharmoniker, claudio abbado & sabine meyer
217|Royal Philharmonic Orchestra & Sir Thomas Beecham|royal philharmonic orchestra & sir thomas beecham
218|Orchestre Révolutionnaire et Romantique & John Eliot Gardiner|orchestre révolutionnaire et romantique & john eliot gardiner
219|Britten Sinfonia, Ivor Bolton & Lesley Garrett|britten sinfonia, ivor bolton & lesley garrett
220|Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti|chicago symphony chorus, chicago symphony orchestra & sir georg solti
221|Sir Georg Solti & Wiener Philharmoniker|sir georg solti & wiener philharmoniker
222|Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair|academy of st. martin in the fields, john birch, sir neville marriner & sylvia mcnair
223|London Symphony Orchestra & Sir Charles Mackerras|london symphony orchestra & sir charles mackerras
224|Barry Wordsworth & BBC Concert Orchestra|barry wordsworth & bbc concert orchestra
225|Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker|herbert von karajan, mirella freni & wiener philharmoniker
226|Eugene Ormandy|eugene ormandy
227|Luciano Pavarotti|luciano pavarotti
228|Leonard Bernstein & New York Philharmonic|leonard bernstein & new york philharmonic
229|Boston Symphony Orchestra & Seiji Ozawa|boston symphony orchestra & seiji ozawa
230|Aaron Copland & London Symphony Orchestra|aaron copland & london symphony orchestra
231|Ton Koopman|ton koopman
232|Sergei Prokofiev & Yuri Temirkanov|sergei prokofiev & yuri temirkanov
233|Chicago Symphony Orchestra & Fritz Reiner|chicago symphony orchestra & fritz reiner
234|Orchestra of The Age of Enlightenment|orchestra of the age of enlightenment
235|Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra|emanuel ax, eugene ormandy & philadelphia orchestra
236|James Levine|james levine
237|Berliner Philharmoniker & Hans Rosbaud|berliner philharmoniker & hans rosbaud
238|Maurizio Pollini|maurizio pollini
239|Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett|academy of st. martin in the fields, sir neville marriner & william bennett
240|Gustav Mahler|gustav mahler
241|Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos|felix schmidt, london symphony orchestra & rafael frühbeck de burgos
242|Edo de Waart & San Francisco Symphony|edo de waart & san francisco symphony
243|Antal Doráti & London Symphony Orchestra|antal doráti & london symphony orchestra
244|Choir Of Westminster Abbey & Simon Preston|choir of westminster abbey & simon preston
245|Michael Tilson Thomas & San Francisco Symphony|michael tilson thomas & san francisco symphony
246|Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker|chor der wiener staatsoper, herbert von karajan & wiener philharmoniker
247|The King's Singers|the king's singers
248|Berliner Philharmoniker & Herbert Von Karajan|berliner philharmoniker & herbert von karajan
249|Sir Georg Solti, Sumi Jo & Wiener Philharmoniker|sir georg solti, sumi jo & wiener philharmoniker
250|Christopher O'Riley|christopher o'riley
251|Fretwork|fretwork
252|Amy Winehouse|amy winehouse
253|Calexico|calexico
254|Otto Klemperer & Philharmonia Orchestra|otto klemperer & philharmonia orchestra
255|Yehudi Menuhin|yehudi menuhin
256|Philharmonia Orchestra & Sir Neville Marriner|philharmonia orchestra & sir neville marriner
257|Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart|academy of st. martin in the fields, sir neville marriner & thurston dart
258|Les Arts Florissants & William Christie|les arts florissants & william christie
259|The 12 Cellists of The Berlin Philharmonic|the 12 cellists of the berlin philharmonic
260|Adrian Leaper & Doreen de Feis|adrian leaper & doreen de feis
261|Roger Norrington, London Classical Players|roger norrington, london classical players
262|Charles Dutoit & L'Orchestre Symphonique de Montréal|charles dutoit & l'orchestre symphonique de montréal
263|Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir|equale brass ensemble, john eliot gardiner & munich monteverdi orchestra and choir
264|Kent Nagano and Orchestre de l'Opéra de Lyon|kent nagano and orchestre de l'opéra de lyon
265|Julian Bream|julian bream
266|Martin Roscoe|martin roscoe
267|Göteborgs Symfoniker & Neeme Järvi|göteborgs symfoniker & neeme järvi
268|Itzhak Perlman|itzhak perlman
269|Michele Campanella|michele campanella
270|Gerald Moore|gerald moore
271|Mela Tenenbaum, Pro Musica Prague & Richard Kapp|mela tenenbaum, pro musica prague & richard kapp
272|Emerson String Quartet|emerson string quartet
273|C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu|c. monteverdi, nigel rogers - chiaroscuro; london baroque; london cornett & sackbu
274|Nash Ensemble|nash ensemble
275|Philip Glass Ensemble|philip glass ensemble
