ID|name|name_lower|composer|milliseconds|bytes|unit_price|media_type_ID|genre_ID|album_ID
44|You Learn|you learn|Alanis Morissette & Glenn Ballard|239699|7824837|0.99|1|1|6
45|Head Over Feet|head over feet|Alanis Morissette & Glenn Ballard|267493|8758008|0.99|1|1|6
46|Mary Jane|mary jane|Alanis Morissette & Glenn Ballard|280607|9163588|0.99|1|1|6
47|Ironic|ironic|Alanis Morissette & Glenn Ballard|229825|7598866|0.99|1|1|6
48|Not The Doctor|not the doctor|Alanis Morissette & Glenn Ballard|227631|7604601|0.99|1|1|6
49|Wake Up|wake up|Alanis Morissette & Glenn Ballard|293485|9703359|0.99|1|1|6
50|You Oughta Know (Alternate)|you oughta know (alternate)|Alanis Morissette & Glenn Ballard|491885|16008629|0.99|1|1|6
51|We Die Young|we die young|Jerry Cantrell|152084|4925362|0.99|1|1|7
52|Man In The Box|man in the box|Jerry Cantrell, Layne Staley|286641|9310272|0.99|1|1|7
53|Sea Of Sorrow|sea of sorrow|Jerry Cantrell|349831|11316328|0.99|1|1|7
54|Bleed The Freak|bleed the freak|Jerry Cantrell|241946|7847716|0.99|1|1|7
55|I Can't Remember|i can't remember|Jerry Cantrell, Layne Staley|222955|7302550|0.99|1|1|7
56|Love, Hate, Love|love, hate, love|Jerry Cantrell, Layne Staley|387134|12575396|0.99|1|1|7
57|It Ain't Like That|it ain't like that|Jerry Cantrell, Michael Starr, Sean Kinney|277577|8993793|0.99|1|1|7
58|Sunshine|sunshine|Jerry Cantrell|284969|9216057|0.99|1|1|7
59|Put You Down|put you down|Jerry Cantrell|196231|6420530|0.99|1|1|7
60|Confusion|confusion|Jerry Cantrell, Michael Starr, Layne Staley|344163|11183647|0.99|1|1|7
61|I Know Somethin (Bout You)|i know somethin (bout you)|Jerry Cantrell|261955|8497788|0.99|1|1|7
62|Real Thing|real thing|Jerry Cantrell, Layne Staley|243879|7937731|0.99|1|1|7
63|Desafinado|desafinado||185338|5990473|0.99|1|2|8
64|Garota De Ipanema|garota de ipanema||285048|9348428|0.99|1|2|8
65|Samba De Uma Nota Só (One Note Samba)|samba de uma nota só (one note samba)||137273|4535401|0.99|1|2|8
66|Por Causa De Você|por causa de você||169900|5536496|0.99|1|2|8
67|Ligia|ligia||251977|8226934|0.99|1|2|8
68|Fotografia|fotografia||129227|4198774|0.99|1|2|8
69|Dindi (Dindi)|dindi (dindi)||253178|8149148|0.99|1|2|8
70|Se Todos Fossem Iguais A Você (Instrumental)|se todos fossem iguais a você (instrumental)||134948|4393377|0.99|1|2|8
71|Falando De Amor|falando de amor||219663|7121735|0.99|1|2|8
72|Angela|angela||169508|5574957|0.99|1|2|8
73|Corcovado (Quiet Nights Of Quiet Stars)|corcovado (quiet nights of quiet stars)||205662|6687994|0.99|1|2|8
74|Outra Vez|outra vez||126511|4110053|0.99|1|2|8
75|O Boto (Bôto)|o boto (bôto)||366837|12089673|0.99|1|2|8
76|Canta, Canta Mais|canta, canta mais||271856|8719426|0.99|1|2|8
77|Enter Sandman|enter sandman|Apocalyptica|221701|7286305|0.99|1|3|9
78|Master Of Puppets|master of puppets|Apocalyptica|436453|14375310|0.99|1|3|9
79|Harvester Of Sorrow|harvester of sorrow|Apocalyptica|374543|12372536|0.99|1|3|9
80|The Unforgiven|the unforgiven|Apocalyptica|322925|10422447|0.99|1|3|9
81|Sad But True|sad but true|Apocalyptica|288208|9405526|0.99|1|3|9
82|Creeping Death|creeping death|Apocalyptica|308035|10110980|0.99|1|3|9
83|Wherever I May Roam|wherever i may roam|Apocalyptica|369345|12033110|0.99|1|3|9
84|Welcome Home (Sanitarium)|welcome home (sanitarium)|Apocalyptica|350197|11406431|0.99|1|3|9
85|Cochise|cochise|Audioslave/Chris Cornell|222380|5339931|0.99|1|1|10
86|Show Me How to Live|show me how to live|Audioslave/Chris Cornell|277890|6672176|0.99|1|1|10
87|Gasoline|gasoline|Audioslave/Chris Cornell|279457|6709793|0.99|1|1|10
88|What You Are|what you are|Audioslave/Chris Cornell|249391|5988186|0.99|1|1|10
89|Like a Stone|like a stone|Audioslave/Chris Cornell|294034|7059624|0.99|1|1|10
90|Set It Off|set it off|Audioslave/Chris Cornell|263262|6321091|0.99|1|1|10
91|Shadow on the Sun|shadow on the sun|Audioslave/Chris Cornell|343457|8245793|0.99|1|1|10
92|I am the Highway|i am the highway|Audioslave/Chris Cornell|334942|8041411|0.99|1|1|10
93|Exploder|exploder|Audioslave/Chris Cornell|206053|4948095|0.99|1|1|10
94|Hypnotize|hypnotize|Audioslave/Chris Cornell|206628|4961887|0.99|1|1|10
95|Bring'em Back Alive|bring'em back alive|Audioslave/Chris Cornell|329534|7911634|0.99|1|1|10
96|Light My Way|light my way|Audioslave/Chris Cornell|303595|7289084|0.99|1|1|10
97|Getaway Car|getaway car|Audioslave/Chris Cornell|299598|7193162|0.99|1|1|10
98|The Last Remaining Light|the last remaining light|Audioslave/Chris Cornell|317492|7622615|0.99|1|1|10
99|Your Time Has Come|your time has come|Cornell, Commerford, Morello, Wilk|255529|8273592|0.99|1|4|11
100|Out Of Exile|out of exile|Cornell, Commerford, Morello, Wilk|291291|9506571|0.99|1|4|11
101|Be Yourself|be yourself|Cornell, Commerford, Morello, Wilk|279484|9106160|0.99|1|4|11
102|Doesn't Remind Me|doesn't remind me|Cornell, Commerford, Morello, Wilk|255869|8357387|0.99|1|4|11
103|Drown Me Slowly|drown me slowly|Cornell, Commerford, Morello, Wilk|233691|7609178|0.99|1|4|11
104|Heaven's Dead|heaven's dead|Cornell, Commerford, Morello, Wilk|276688|9006158|0.99|1|4|11
105|The Worm|the worm|Cornell, Commerford, Morello, Wilk|237714|7710800|0.99|1|4|11
106|Man Or Animal|man or animal|Cornell, Commerford, Morello, Wilk|233195|7542942|0.99|1|4|11
107|Yesterday To Tomorrow|yesterday to tomorrow|Cornell, Commerford, Morello, Wilk|273763|8944205|0.99|1|4|11
108|Dandelion|dandelion|Cornell, Commerford, Morello, Wilk|278125|9003592|0.99|1|4|11
109|#1 Zero|#1 zero|Cornell, Commerford, Morello, Wilk|299102|9731988|0.99|1|4|11
110|The Curse|the curse|Cornell, Commerford, Morello, Wilk|309786|10029406|0.99|1|4|11
111|Money|money|Berry Gordy, Jr./Janie Bradford|147591|2365897|0.99|1|5|12
112|Long Tall Sally|long tall sally|"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell"|106396|1707084|0.99|1|5|12
113|Bad Boy|bad boy|Larry Williams|116088|1862126|0.99|1|5|12
114|Twist And Shout|twist and shout|Bert Russell/Phil Medley|161123|2582553|0.99|1|5|12
115|Please Mr. Postman|please mr. postman|Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett|137639|2206986|0.99|1|5|12
116|C'Mon Everybody|c'mon everybody|Eddie Cochran/Jerry Capehart|140199|2247846|0.99|1|5|12
117|Rock 'N' Roll Music|rock 'n' roll music|Chuck Berry|141923|2276788|0.99|1|5|12
118|Slow Down|slow down|Larry Williams|163265|2616981|0.99|1|5|12
119|Roadrunner|roadrunner|Bo Diddley|143595|2301989|0.99|1|5|12
120|Carol|carol|Chuck Berry|143830|2306019|0.99|1|5|12
121|Good Golly Miss Molly|good golly miss molly|Little Richard|106266|1704918|0.99|1|5|12
122|20 Flight Rock|20 flight rock|Ned Fairchild|107807|1299960|0.99|1|5|12
123|Quadrant|quadrant|Billy Cobham|261851|8538199|0.99|1|2|13
124|Snoopy's search-Red baron|snoopy's search-red baron|Billy Cobham|456071|15075616|0.99|1|2|13
125|"Spanish moss-""A sound portrait""-Spanish moss"|"spanish moss-""a sound portrait""-spanish moss"|Billy Cobham|248084|8217867|0.99|1|2|13
126|Moon germs|moon germs|Billy Cobham|294060|9714812|0.99|1|2|13
127|Stratus|stratus|Billy Cobham|582086|19115680|0.99|1|2|13
128|The pleasant pheasant|the pleasant pheasant|Billy Cobham|318066|10630578|0.99|1|2|13
129|Solo-Panhandler|solo-panhandler|Billy Cobham|246151|8230661|0.99|1|2|13
130|Do what cha wanna|do what cha wanna|George Duke|274155|9018565|0.99|1|2|13
131|Intro/ Low Down|intro/ low down||323683|10642901|0.99|1|3|14
132|13 Years Of Grief|13 years of grief||246987|8137421|0.99|1|3|14
133|Stronger Than Death|stronger than death||300747|9869647|0.99|1|3|14
134|All For You|all for you||235833|7726948|0.99|1|3|14
135|Super Terrorizer|super terrorizer||319373|10513905|0.99|1|3|14
136|Phoney Smile Fake Hellos|phoney smile fake hellos||273606|9011701|0.99|1|3|14
137|Lost My Better Half|lost my better half||284081|9355309|0.99|1|3|14
138|Bored To Tears|bored to tears||247327|8130090|0.99|1|3|14
139|A.N.D.R.O.T.A.Z.|a.n.d.r.o.t.a.z.||266266|8574746|0.99|1|3|14
140|Born To Booze|born to booze||282122|9257358|0.99|1|3|14
141|World Of Trouble|world of trouble||359157|11820932|0.99|1|3|14
142|No More Tears|no more tears||555075|18041629|0.99|1|3|14
143|The Begining... At Last|the begining... at last||365662|11965109|0.99|1|3|14
144|Heart Of Gold|heart of gold||194873|6417460|0.99|1|3|15
145|Snowblind|snowblind||420022|13842549|0.99|1|3|15
146|Like A Bird|like a bird||276532|9115657|0.99|1|3|15
147|Blood In The Wall|blood in the wall||284368|9359475|0.99|1|3|15
148|The Beginning...At Last|the beginning...at last||271960|8975814|0.99|1|3|15
149|Black Sabbath|black sabbath||382066|12440200|0.99|1|3|16
150|The Wizard|the wizard||264829|8646737|0.99|1|3|16
151|Behind The Wall Of Sleep|behind the wall of sleep||217573|7169049|0.99|1|3|16
152|N.I.B.|n.i.b.||368770|12029390|0.99|1|3|16
153|Evil Woman|evil woman||204930|6655170|0.99|1|3|16
154|Sleeping Village|sleeping village||644571|21128525|0.99|1|3|16
155|Warning|warning||212062|6893363|0.99|1|3|16
156|Wheels Of Confusion / The Straightener|wheels of confusion / the straightener|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|494524|16065830|0.99|1|3|17
157|Tomorrow's Dream|tomorrow's dream|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|192496|6252071|0.99|1|3|17
158|Changes|changes|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|286275|9175517|0.99|1|3|17
159|FX|fx|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|103157|3331776|0.99|1|3|17
160|Supernaut|supernaut|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|285779|9245971|0.99|1|3|17
161|Snowblind|snowblind|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|331676|10813386|0.99|1|3|17
162|Cornucopia|cornucopia|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|234814|7653880|0.99|1|3|17
163|Laguna Sunrise|laguna sunrise|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|173087|5671374|0.99|1|3|17
164|St. Vitus Dance|st. vitus dance|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|149655|4884969|0.99|1|3|17
165|Under The Sun/Every Day Comes and Goes|under the sun/every day comes and goes|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|350458|11360486|0.99|1|3|17
166|Smoked Pork|smoked pork||47333|1549074|0.99|1|4|18
167|Body Count's In The House|body count's in the house||204251|6715413|0.99|1|4|18
168|Now Sports|now sports||4884|161266|0.99|1|4|18
169|Body Count|body count||317936|10489139|0.99|1|4|18
170|A Statistic|a statistic||6373|211997|0.99|1|4|18
171|Bowels Of The Devil|bowels of the devil||223216|7324125|0.99|1|4|18
172|The Real Problem|the real problem||11650|387360|0.99|1|4|18
173|KKK Bitch|kkk bitch||173008|5709631|0.99|1|4|18
174|D Note|d note||95738|3067064|0.99|1|4|18
175|Voodoo|voodoo||300721|9875962|0.99|1|4|18
176|The Winner Loses|the winner loses||392254|12843821|0.99|1|4|18
177|There Goes The Neighborhood|there goes the neighborhood||350171|11443471|0.99|1|4|18
178|Oprah|oprah||6635|224313|0.99|1|4|18
179|Evil Dick|evil dick||239020|7828873|0.99|1|4|18
180|Body Count Anthem|body count anthem||166426|5463690|0.99|1|4|18
181|Momma's Gotta Die Tonight|momma's gotta die tonight||371539|12122946|0.99|1|4|18
182|Freedom Of Speech|freedom of speech||281234|9337917|0.99|1|4|18
183|King In Crimson|king in crimson|Roy Z|283167|9218499|0.99|1|3|19
184|Chemical Wedding|chemical wedding|Roy Z|246177|8022764|0.99|1|3|19
185|The Tower|the tower|Roy Z|285257|9435693|0.99|1|3|19
186|Killing Floor|killing floor|Adrian Smith|269557|8854240|0.99|1|3|19
187|Book Of Thel|book of thel|Eddie Casillas/Roy Z|494393|16034404|0.99|1|3|19
188|Gates Of Urizen|gates of urizen|Roy Z|265351|8627004|0.99|1|3|19
189|Jerusalem|jerusalem|Roy Z|402390|13194463|0.99|1|3|19
190|Trupets Of Jericho|trupets of jericho|Roy Z|359131|11820908|0.99|1|3|19
191|Machine Men|machine men|Adrian Smith|341655|11138147|0.99|1|3|19
192|The Alchemist|the alchemist|Roy Z|509413|16545657|0.99|1|3|19
193|Realword|realword|Roy Z|237531|7802095|0.99|1|3|19
194|First Time I Met The Blues|first time i met the blues|Eurreal Montgomery|140434|4604995|0.99|1|6|20
195|Let Me Love You Baby|let me love you baby|Willie Dixon|175386|5716994|0.99|1|6|20
196|Stone Crazy|stone crazy|Buddy Guy|433397|14184984|0.99|1|6|20
197|Pretty Baby|pretty baby|Willie Dixon|237662|7848282|0.99|1|6|20
198|When My Left Eye Jumps|when my left eye jumps|Al Perkins/Willie Dixon|235311|7685363|0.99|1|6|20
199|Leave My Girl Alone|leave my girl alone|Buddy Guy|204721|6859518|0.99|1|6|20
200|She Suits Me To A Tee|she suits me to a tee|Buddy Guy|136803|4456321|0.99|1|6|20
201|Keep It To Myself (Aka Keep It To Yourself)|keep it to myself (aka keep it to yourself)|Sonny Boy Williamson I|166060|5487056|0.99|1|6|20
202|My Time After Awhile|my time after awhile|Robert Geddins/Ron Badger/Sheldon Feinberg|182491|6022698|0.99|1|6|20
203|Too Many Ways (Alternate)|too many ways (alternate)|Willie Dixon|135053|4459946|0.99|1|6|20
204|Talkin' 'Bout Women Obviously|talkin' 'bout women obviously|Amos Blakemore/Buddy Guy|589531|19161377|0.99|1|6|20
205|Jorge Da Capadócia|jorge da capadócia|Jorge Ben|177397|5842196|0.99|1|7|21
206|Prenda Minha|prenda minha|Tradicional|99369|3225364|0.99|1|7|21
207|Meditação|meditação|Tom Jobim - Newton Mendoça|148793|4865597|0.99|1|7|21
208|Terra|terra|Caetano Veloso|482429|15889054|0.99|1|7|21
209|Eclipse Oculto|eclipse oculto|Caetano Veloso|221936|7382703|0.99|1|7|21
210|"Texto ""Verdade Tropical"""|"texto ""verdade tropical"""|Caetano Veloso|84088|2752161|0.99|1|7|21
211|Bem Devagar|bem devagar|Gilberto Gil|133172|4333651|0.99|1|7|21
212|Drão|drão|Gilberto Gil|156264|5065932|0.99|1|7|21
213|Saudosismo|saudosismo|Caetano Veloso|144326|4726981|0.99|1|7|21
214|Carolina|carolina|Chico Buarque|181812|5924159|0.99|1|7|21
215|Sozinho|sozinho|Peninha|190589|6253200|0.99|1|7|21
216|Esse Cara|esse cara|Caetano Veloso|223111|7217126|0.99|1|7|21
217|Mel|mel|Caetano Veloso - Waly Salomão|294765|9854062|0.99|1|7|21
218|Linha Do Equador|linha do equador|Caetano Veloso - Djavan|299337|10003747|0.99|1|7|21
219|Odara|odara|Caetano Veloso|141270|4704104|0.99|1|7|21
220|A Luz De Tieta|a luz de tieta|Caetano Veloso|251742|8507446|0.99|1|7|21
221|Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu|atrás da verd-e-rosa só não vai quem já morreu|David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto|307252|10364247|0.99|1|7|21
222|Vida Boa|vida boa|Fausto Nilo - Armandinho|281730|9411272|0.99|1|7|21
223|Sozinho (Hitmakers Classic Mix)|sozinho (hitmakers classic mix)||436636|14462072|0.99|1|7|22
224|Sozinho (Hitmakers Classic Radio Edit)|sozinho (hitmakers classic radio edit)||195004|6455134|0.99|1|7|22
225|Sozinho (Caêdrum 'n' Bass)|sozinho (caêdrum 'n' bass)||328071|10975007|0.99|1|7|22
226|Carolina|carolina||163056|5375395|0.99|1|7|23
227|Essa Moça Ta Diferente|essa moça ta diferente||167235|5568574|0.99|1|7|23
228|Vai Passar|vai passar||369763|12359161|0.99|1|7|23
229|Samba De Orly|samba de orly||162429|5431854|0.99|1|7|23
230|Bye, Bye Brasil|bye, bye brasil||283402|9499590|0.99|1|7|23
231|Atras Da Porta|atras da porta||189675|6132843|0.99|1|7|23
232|Tatuagem|tatuagem||172120|5645703|0.99|1|7|23
233|O Que Será (À Flor Da Terra)|o que será (À flor da terra)||167288|5574848|0.99|1|7|23
234|Morena De Angola|morena de angola||186801|6373932|0.99|1|7|23
235|Apesar De Você|apesar de você||234501|7886937|0.99|1|7|23
236|A Banda|a banda||132493|4349539|0.99|1|7|23
237|Minha Historia|minha historia||182256|6029673|0.99|1|7|23
238|Com Açúcar E Com Afeto|com açúcar e com afeto||175386|5846442|0.99|1|7|23
239|Brejo Da Cruz|brejo da cruz||214099|7270749|0.99|1|7|23
240|Meu Caro Amigo|meu caro amigo||260257|8778172|0.99|1|7|23
241|Geni E O Zepelim|geni e o zepelim||317570|10342226|0.99|1|7|23
242|Trocando Em Miúdos|trocando em miúdos||169717|5461468|0.99|1|7|23
243|Vai Trabalhar Vagabundo|vai trabalhar vagabundo||139154|4693941|0.99|1|7|23
244|Gota D'água|gota d'água||153208|5074189|0.99|1|7|23
245|Construção / Deus Lhe Pague|construção / deus lhe pague||383059|12675305|0.99|1|7|23
246|Mateus Enter|mateus enter|Chico Science|33149|1103013|0.99|1|7|24
247|O Cidadão Do Mundo|o cidadão do mundo|Chico Science|200933|6724966|0.99|1|7|24
248|Etnia|etnia|Chico Science|152555|5061413|0.99|1|7|24
249|Quilombo Groove Instrumental|quilombo groove instrumental|Chico Science|151823|5042447|0.99|1|7|24
250|Macô|macô|Chico Science|249600|8253934|0.99|1|7|24
251|Um Passeio No Mundo Livre|um passeio no mundo livre|Chico Science|240091|7984291|0.99|1|7|24
252|Samba Do Lado|samba do lado|Chico Science|227317|7541688|0.99|1|7|24
253|Maracatu Atômico|maracatu atômico|Chico Science|284264|9670057|0.99|1|7|24
254|O Encontro De Isaac Asimov Com Santos Dumont No Céu|o encontro de isaac asimov com santos dumont no céu|Chico Science|99108|3240816|0.99|1|7|24
255|Corpo De Lama|corpo de lama|Chico Science|232672|7714954|0.99|1|7|24
256|Sobremesa|sobremesa|Chico Science|240091|7960868|0.99|1|7|24
257|Manguetown|manguetown|Chico Science|194560|6475159|0.99|1|7|24
258|Um Satélite Na Cabeça|um satélite na cabeça|Chico Science|126615|4272821|0.99|1|7|24
259|Baião Ambiental Instrumental|baião ambiental instrumental|Chico Science|152659|5198539|0.99|1|7|24
260|Sangue De Bairro|sangue de bairro|Chico Science|132231|4415557|0.99|1|7|24
261|Enquanto O Mundo Explode|enquanto o mundo explode|Chico Science|88764|2968650|0.99|1|7|24
262|Interlude Zumbi|interlude zumbi|Chico Science|71627|2408550|0.99|1|7|24
263|Criança De Domingo|criança de domingo|Chico Science|208222|6984813|0.99|1|7|24
264|Amor De Muito|amor de muito|Chico Science|175333|5881293|0.99|1|7|24
265|Samidarish Instrumental|samidarish instrumental|Chico Science|272431|8911641|0.99|1|7|24
266|Maracatu Atômico Atomic Version|maracatu atômico atomic version|Chico Science|273084|9019677|0.99|1|7|24
267|Maracatu Atômico Ragga Mix|maracatu atômico ragga mix|Chico Science|210155|6986421|0.99|1|7|24
268|Maracatu Atômico Trip Hop|maracatu atômico trip hop|Chico Science|221492|7380787|0.99|1|7|24
269|Banditismo Por Uma Questa|banditismo por uma questa||307095|10251097|0.99|1|7|25
271|Rios Pontes & Overdrives|rios pontes & overdrives||286720|9659152|0.99|1|7|25
272|Cidade|cidade||216346|7241817|0.99|1|7|25
273|Praiera|praiera||183640|6172781|0.99|1|7|25
274|Samba Makossa|samba makossa||271856|9095410|0.99|1|7|25
275|Da Lama Ao Caos|da lama ao caos||251559|8378065|0.99|1|7|25
276|Maracatu De Tiro Certeiro|maracatu de tiro certeiro||88868|2901397|0.99|1|7|25
277|Salustiano Song|salustiano song||215405|7183969|0.99|1|7|25
278|Antene Se|antene se||248372|8253618|0.99|1|7|25
279|Risoflora|risoflora||105586|3536938|0.99|1|7|25
280|Lixo Do Mangue|lixo do mangue||193253|6534200|0.99|1|7|25
281|Computadores Fazem Arte|computadores fazem arte||404323|13702771|0.99|1|7|25
282|Girassol|girassol|Bino Farias/Da Gama/Lazão/Pedro Luis/Toni Garrido|249808|8327676|0.99|1|8|26
283|A Sombra Da Maldade|a sombra da maldade|Da Gama/Toni Garrido|230922|7697230|0.99|1|8|26
284|Johnny B. Goode|johnny b. goode|Chuck Berry|254615|8505985|0.99|1|8|26
285|Soldado Da Paz|soldado da paz|Herbert Vianna|194220|6455080|0.99|1|8|26
286|Firmamento|firmamento|Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers|222145|7402658|0.99|1|8|26
287|Extra|extra|Gilberto Gil|304352|10078050|0.99|1|8|26
288|O Erê|o erê|Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido|236382|7866924|0.99|1|8|26
289|Podes Crer|podes crer|Bino Farias/Da Gama/Lazão/Toni Garrido|232280|7747747|0.99|1|8|26
290|A Estrada|a estrada|Bino Farias/Da Gama/Lazão/Toni Garrido|248842|8275673|0.99|1|8|26
291|Berlim|berlim|Da Gama/Toni Garrido|207542|6920424|0.99|1|8|26
292|Já Foi|já foi|Bino Farias/Da Gama/Lazão/Toni Garrido|221544|7388466|0.99|1|8|26
293|Onde Você Mora?|onde você mora?|Marisa Monte/Nando Reis|256026|8502588|0.99|1|8|26
294|Pensamento|pensamento|Bino Farias/Da Gamma/Lazão/Rás Bernard|173008|5748424|0.99|1|8|26
295|Conciliação|conciliação|Da Gama/Lazão/Rás Bernardo|257619|8552474|0.99|1|8|26
296|Realidade Virtual|realidade virtual|Bino Farias/Da Gama/Lazão/Toni Garrido|195239|6503533|0.99|1|8|26
297|Mensagem|mensagem|Bino Farias/Da Gama/Lazão/Rás Bernardo|225332|7488852|0.99|1|8|26
298|A Cor Do Sol|a cor do sol|Bernardo Vilhena/Da Gama/Lazão|231392|7663348|0.99|1|8|26
299|Onde Você Mora?|onde você mora?|Marisa Monte/Nando Reis|298396|10056970|0.99|1|8|27
300|O Erê|o erê|Bernardo Vilhena/Bino/Da Gama/Lazao/Toni Garrido|206942|6950332|0.99|1|8|27
301|A Sombra Da Maldade|a sombra da maldade|Da Gama/Toni Garrido|285231|9544383|0.99|1|8|27
302|A Estrada|a estrada|Da Gama/Lazao/Toni Garrido|282174|9344477|0.99|1|8|27
303|Falar A Verdade|falar a verdade|Bino/Da Gama/Ras Bernardo|244950|8189093|0.99|1|8|27
304|Firmamento|firmamento|Harry Lawes/Winston Foster-Vers|225488|7507866|0.99|1|8|27
305|Pensamento|pensamento|Bino/Da Gama/Ras Bernardo|192391|6399761|0.99|1|8|27
